# Divide / special-case positions. Each line: FEN <space> depth
# These are designed to exercise en-passant, castling rights, promotions, and pinned-piece subtleties.

# En-passant available (black can capture en-passant on e3)
rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 2 4

# White just moved a pawn 2 squares; en-passant nuance
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq e6 0 1 4

# Castling rights present and possible
r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1 4

# Castling rights removed but rook/king movement tests
r3k2r/8/8/8/8/8/8/R3K2R w - - 0 1 4

# Promotion possibility (white pawn on 7th)
8/P7/8/8/8/8/8/k6K w - - 0 1 4

# Underpromotion trap / captures near promotion
8/P7/8/8/8/8/1p6/K6k w - - 0 1 4

# Pinned piece / discovered checks
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 1 4
